timestamp,short_window,long_window,accuracy,processing_time,input_date,input_end_date,method
23/5/25 13:52,17,51,0.6227476329510858,162.47,18/5/25,18/5/25, SMA
23/5/25 14:04,17,51,0.6361442188134414,504.6,18/5/25,21/5/25, SMA
23/5/25 14:16,10,50,0.6456049021356068,321.6,21/5/25,21/5/25, SMA
23/5/25 14:22,random,random,0.50001034,1.59,21/5/25,21/5/25, Benchmark
23/5/25 14:22,random,random,0.49994054689105477,1.57,21/5/25,21/5/25, Benchmark
23/5/25 14:23,random,random,0.5002550990734362,1.54,21/5/25,21/5/25, Benchmark
23/5/25 14:31,10,50,0.6456049021356068,321.48,21/5/25,21/5/25, SMA
23/5/25 14:38,17,51,0.6390725104808918,205.05,20/5/25,20/5/25, SMA
23/5/25 14:47,7,53,0.6111650246735181,122.01,20/5/25,20/5/25,EWMA
23/5/25 14:55,17,51,0.6390725104808918,200.07,20/5/25,20/5/25,SMA
2025-05-30 14:43:09,7,53,0.6111650246735181,114.08,2025-05-20,2025-05-20,EWMA
2025-05-30 16:53:50,17,51,0.6390725104808918,207.42,2025-05-20,2025-05-20,SMA
2025-06-01 15:56:05,7,53,0.6111650246735181,214.45,2025-05-20,2025-05-20,EWMA
